"",,,,,,,,,,,,8600 Setlagole,
Eastern Cape,,Magistrate Court,Seymour,,,Yes,Yes,,,040 863 1080 040 863 1089,,"Private Bag x 10, Seymour 75 Curzon Street, Seymour",E 26.77084; S ‐32.55314
"",,,,,,,,,,,,5750 5750,
Mpumalanga,Msukaligwa [Ermelo],Periodical Court,Sheepmoor,,,No,No,,,017 846 9265 017 846 9265,,"Private Bag X1001, Sheepmoor SAPS",
"",,,,,,,,,,,,,‐26.71503; 30.29457
"",,,,,,,,,,tel/fax,,Amsterdam 2375,
Western Cape,,Magistrate Court,Simon’s Town,,,Yes,Yes,,,021 786 1561 021 786 3429,,"Private Bag X4, Simon’s 133 St Georges Street, Simon’s E 18.43617; S ‐34.19345",
"",,,,,,,,,,,,Town 7995 Town 7995,
Mpumalanga,Dr JS Moroka [Siyabuswa],Magistrate Court,Siyabuswa,Mdutjana,Mathanjana,Yes,Yes,,Yes,013 973 1311 013 973 1375,,"Private Bag X4014, 3B Rethabile Street, Siyabuswa ‐25.10835; 29.03993",
"",,,,,,,,,,,,Siyabuswa 0472 0472,
Mpumalanga,Bushbuckridge [Bushbuckridge],Periodical Court,Skukuza,,,No,No,,,013 751 1147/8 013 750 0426,,"Private Bag X801, White SAPS Skukuza",‐24.99534; 31.59013
Free State,,Magistrate Court,Smithfield,,,Yes,Yes,,,051 683 0192 051 683 0401,,"RPri ivat1e2 B4a0g X4, Smithfield General Hertzog Street,",E 26.53097; S ‐30.21423
"",,,,,,,,,,,,9966 Smithfield 9966,
Eastern Cape,,Magistrate Court,Somerset East,,,Yes,Yes,,,042 243 1107 042 243 0667,,"Private Bag x 01, Somerset‐ 1 Worcester Street, Somerset‐ E 25.59057; S ‐32.71861",
"",,,,,,,,,,,,East 5850 East 5850,
Western Cape,,Magistrate Court,Somerset West,,,Yes,Yes,,,021 850 7420 021 852 7299,,"Private Bag X4, Somerset 33 Caledon Street, Somerset",E 18.85191; S ‐34.08335
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,Postal Physical GPS [S;E]
Gauteng,Tshwane North [Soshanguve],Detached Court,Soshanguve,,,Yes,Yes,,Yes,012 730 1000 012 799 8921,"Private Bag X3, Rosslyn Soshanguve Highway Block H, ‐25.52939; 28.11372"
"",,,,,,,,,,,0200 Soshanguve 2096
Free State,,Periodical Court,Soutpan,,,No,No,,,051 821 2211 051 821 1602,"Private Bag X10, Brandfort Lang Street E 26.06093; S ‐28.7214"
"",,,,,,,,,,,9400
Gauteng,Johannesburg Central [Soweto],Detached Court,Soweto,Protea,,No,Yes (Sessions Yes,,Yes,011 980 8130 011 980 5141,"Private Bag X4102, Protea Cnr Ndaba & Kunene drive, ‐26.27433; 27.83674"
"",,,,,,,,,,,"Glen, 1819 Protea North,  Soweto 1818"
Northern Cape,Namakwa [Springbok],Magistrate Court,Springbok,,,Yes,Yes,,,027 712 1215 027 712 1860,"Private Bag X3, Springbok, 1 Hof Street, Springbok, 8240 ‐29.66583; 17.88252"
"",,,,,,,,,,,8240
Free State,,Periodical Court,Springfontein,,,No,No,,,051 783 0028 051 783 0301,"Private Bag X2, 1 Pieterse Street, Springfontein E 25.70457; S ‐30.26422"
"",,,,,,,,,,,Springfontein 9917 9917
Gauteng,Ekurhuleni East [Springs],Magistrate Court,Springs,,,Yes,Yes,,Yes,011 811 2180‐4 011 811 2296,"Private Bag X8, Springs Welgedacht Road (R555), ‐26.245373; 28.441991"
"",,,,,,,,,,,1560 Springs 1559
Eastern Cape,,Branch Court,St Albans Prison,,,No,No,,,See Port,Old Cape Road E 25.34376; S ‐33.90729
"",,,,,,,,,,Elizabeth,
Mpumalanga,Lekwa [Standerton],Magistrate Court,Standerton,,,Yes,Yes,,,017 712 2043 017 712 3253,"Private Bag X2004, 13 Beyers Naude St,  ‐26.95318; 29.24297"
"",,,,,,,,,,,Standerton 2430 Standerton 2430
North West,Naledi  [Vryburg],Periodical Court,Stella,,,Yes,No,,,053 928 4209 053 927 2309,"Private Bag X06, Vryburg 179 Stella Street, Stella ‐27.20153; 25.301002"
"",,,,,,,,,,,8600
Western Cape,,Magistrate Court,Stellenbosch,,,Yes,Yes,,,021 887 0114 021 883 9687,"Private Bag X5009, Alexander Street, Stellenbosch E 18.85748; S ‐33.93658"
"",,,,,,,,,,,Stellenbosch 7599 7600
Eastern Cape,,Magistrate Court,Sterkspruit,,,Yes,Yes,,,051 611 0012 051 611 0034,"Private Bag x 5001, 81 Herschel Road, Sterkspruit, E 27.37058; S ‐30.52746"
"",,,,,,,,,,,Sterkspruit Hersche 9762
Eastern Cape,,Magistrate Court,Sterkstroom,,,Yes,Yes,,,045 966 0007 045 966 0362,"Private Bag x 1, Sterkstroom 8 Hopley Street , Sterkstroom E 26.55152; S ‐31.55569"
"",,,,,,,,,,,5425 5425
Eastern Cape,,Magistrate Court,Steynsburg,,,Yes,Yes,,,048 884 0048 048 884 0350,"Private Bag x 01, c/o Hendrik Potgieter & Kruger E 25.82558; S ‐31.29606"
"",,,,,,,,,,,"Steynsburg 5920 Street, Steynsburg 5920"
Free State,,Periodical Court,Steynsrus,,,No,Yes,,,056 471 0013 056 471 0051,"Private Bag X2, Steynsrus 15 Van Riebeeck Street, E 27.56362; S ‐27.95321"
"",,,,,,,,,,,9515 Steynsrus 9515
Eastern Cape,,Magistrate Court,Steytlerville,,,Yes,Yes,,,049 835 0011 049 835 0011,"Private Bag x 01 , 35 Sarel Cilliers Street, E 24.34444; S ‐33.32845"
"",,,,,,,,,,Tel/Fax 086 628,Steytlerville 6250 Steytlerville 6250
"",,,,,,,,,,7096,
North West,Matlosana [Stilfontein],Detached Court,Stilfontein,,,No,Yes,,,018 484 1836 018 462 4275,"Private Bag X909, Stilfontein 6 Centlivres Ave, Stilfontein ‐26.27179; 25.11399"
"",,,,,,,,,,,2550 2550
Western Cape,,Periodical Court,Still Bay Strand,,Stilbaai,No,No,,,028 713 2428/ 028 713 3797,"Private Bag X419, Main Road West, Stilbaai E 21.41161; S ‐34.37777"
"",,,,,,,,,,1236/ 4560/,Riversdale 6670
Eastern Cape,,Periodical Court,Storms River,,,No,No,,,See Humansdorp,Darneil Street E 23.8892; S ‐33.97425
Western Cape,,Magistrate Court,Strand,,,Yes,Yes,,,021 854 7217 021 854 7014,"Private Bag X3001,  Strand 1 Gordons Bay Road, Strand E 18.849; S ‐34.1176"
"",,,,,,,,,,,7139 7140
Northern Cape,Pixley Ka Seme [Hopetown],Periodical Court,Strydenburg,,,No,Yes (Sessions Only),,,053 203 0000 053 203 0453,"Private Bag X1, Hopetown, 40 Kerk Street, Strydenburg ‐29.94297; 23.67675"
"",,,,,,,,,,,8750
Eastern Cape,,Magistrate Court,Stutterheim,,,Yes,Yes,,,043 683 4600 043 683 3229,"Private Bag x 16, 23 Dragoon Street, Stutterheim E 27.4271; S ‐32.57119"
"",,,,,,,,,,,Stutterheim 4930 4930
Mpumalanga,Victor Khanye [Delmas],Periodical Court,Sundra,,,No,No,,,013 665 2081/ 013 665 5778,"Private Bag X0005, Delmas 37 Witbank Street, SAPS"
"",,,,,,,,,,,‐26.18638; 28.55025
"",,,,,,,,,,2082/ 2042,2210 Sundra
Northern Cape,Namakwa [Sutherland],Magistrate Court,Sutherland,,,Yes,Yes,,,023 571 1003 023 571 1316,"Private Bag X4, Sutherland, 21 Piet Retief Street,"
"",,,,,,,,,,,‐32.39567; 20.66077
"",,,,,,,,,,,"6920 Sutherland, 6920"
North West,Kgetlengrivier [Swartruggens],Detached Court,Swartruggens,,,Yes,Yes,,,"014 544 0016 014 544 0660/0250 Private Bag X1001,","13 Jan Van Riebeeck Street, ‐26.54952; 24.86231"
"",,,,,,,,,,,Swartruggens 2835 Swartruggens 2835
Western Cape,,Magistrate Court,Swellendam,,,Yes,Yes,,,028 514 1109/ 028 514 2342,"Private Bag X4, Swellendam 88 Voortrek Street, E 20.44389; S ‐34.0209"
"",,,,,,,,,,1160/ 1223,6740 Swellendam 6740
Eastern Cape,Ntabankulu,Magistrate Court,Tabankulu,,,Yes,Yes,,,039 258 0050 039 258 0001,"Private Bag x 529, 81 Main Street, Tabankulu E 29.3028; S ‐30.96151"
"",,,,,,,,,,,Tabankulu 5130 5130
Eastern Cape,,Magistrate Court,Tarkastad,,,Yes,Yes,,,045 846 0017 045 846 0853,"Private Bag x 01, Tarkastad Van Reenen Street, Tarkastad E 26.26099; S ‐32.01083"
"",,,,,,,,,,,5370 5370
North West,Greater Taung  [Taung],Magistrate Court,Taung,,,Yes,Yes Yes,,Yes,053 994 1828/9 053 994 3699,"Private Bag X526, Taung Hospital Road, Taung 8584 ‐27.54393; 24.77929"
"",,,,,,,,,,,8584
North West,Moretele  [Temba],Magistrate Court,Temba,Moretele,,Yes,Yes Yes,,Yes,012 717 2179/ 012 717 5366,"Private Bag X1030, Temba Stand Nr 435 Shopping ‐25.377309; 28.259469"
"",,,,,,,,,,3364/ 3527/,"0407 Complex, Temba 0407"
"",,,,,,,,,,3528,
Gauteng,Ekurhuleni North [Tembisa],Detached Court,Tembisa,,,Yes,Yes Yes,,,011 281 0388/82 011 924 3439,"Private Bag X03, Kempton 244 Gqagqa Section, Tembisa ‐26.008024; 28.220897"
"",,,,,,,,,,,Park 1620 1632
Mpumalanga,Dipaleseng [Balfour],Periodical Court,Thaba‐Kgwali,Grootvlei,,,,,,017 779 0150 017 779 0643,"P.O. Box 12,Grootvlei,2420 Old Mine Hospital Building, ‐26.79878; 28.50954"
"",,,,,,,,,,,SAPS Grootvlei
Limpopo,Thabazimbi [Thabazimbi],Magistrate Court,Thabazimbi,,,Yes,Yes,,,014 777 1543 014 772  2523,"Private Bag X535, 10 Fourth Avenue, Thabazimbi ‐24.59707; 27.40734"
"",,,,,,,,,,,Thabazimbi 0380 0380
Western Cape,,Branch Court,Thembalethu,,,No,Yes (Sessions Yes,,,044 802 5800 044 880 2029,"Private Bag X6537, George Sanokraal Road, Thembalethu E 22.48521; S ‐34.00322"
"",,,,,,,,,,,6530
Free State,,Magistrate Court,Theunissen,,,Yes,Yes,,,057 733 0007 057 733 2494,"Private Bag X3 Theunissen 57 Le Roux Street, Theunissen E 26.71188; S ‐28.39995"
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs EQC,,SCC SOC,,MDS,Tel Fax,Postal Physical,GPS [S;E]
Limpopo,Thulamela [Thohoyandou],Magistrate Court,Thohoyandou,,Yes,,Yes,,Yes,015 962 5550 015 962 5566,"Private Bag X5005, Mphephu Drive, Thohoyandou ‐22.97281; 30.45694",
"",,,,,,,,,,,Thohoyandou 0950 0950,
Mpumalanga,Bushbuckridge [Mhala],Magistrate Court,Thulamahashe,,Mahla Yes,,Yes Yes,,Yes,013 773 013 773 0430,"Private Bag X1312, Main Street, Next to Police",
"",,,,,,,,,,0431/0335,"Thulamahashe 1365 Station & Home Affairs,",‐24.7255; 31.20421
"",,,,,,,,,,,Thulamahashe 1365,
Limpopo,Mogalakwena [Mahwelereng],Periodical Court,Tin Mines,,Groenfontein No,,No,,,015 491 2158 015 491 8111,"Private Bag X2499, 518 Marken Road, Mapela",‐24.03652; 28.77492
"",,,,,,,,,,,Mokopane 0600,
Eastern Cape,,Periodical Court,Tina Falls,,Thina Falls No,,No,,,See Qumbu,Tina Falls,E 29.0218; S ‐31.22116
Limpopo,Malamulele [Tiyani],Branch Court,Tiyani,,Yes,,Yes,,,015 873 2797 015 873 2753,"Private Bag X5008, Main Road, Next to Police",‐23.30612; 30.29706
"",,,,,,,,,,,"Vongani 0930 Station and Post Office, Tiyani",
North West,Rustenburg  [Tlhabane],Detached Court,Tlhabane,Phokeng,Bafokeng Yes,,Yes,,,014 565 4206/ 014 565 5813,"Private Bag X82317, 3582 Motsatsi Street,",‐26.9779; 26.66973
"",,,,,,,,,,7/8,Rustenburg 0300 Tlhabane 0309,
Limpopo,Blouberg [Blouberg],Periodical Court,Tolwe,,No,,No,,,015 491 2158 015 491 8111,"Private Bag X2499, Rooihogte Farm Next To",‐22.98589; 28.57501
"",,,,,,,,,,,"Mokopane 0600 Hunters Lodge, 0690",
Limpopo,Lephalale [Phalala],Periodical Court,Tom Burke,,No,,No,,,014 769 0063/ 014 769 0165,"Private Bag X220, Lephalale SAPS Tomburke, R572 Road,",‐23.06948; 27.9986
"",,,,,,,,,,0165/ 0167 Tel/Fax,"0555 Van Wyk Farm, 0621",
Mpumalanga,Nkomazi [Tonga],Magistrate Court,Tonga,,Nkomazi / KwaLaugedlanYes,,Yes,,Yes,013 780 3312 013 780 0747,"Private Bag X4010, Tonga Road, Nkomazi 1341",‐25.68782; 31.78547
"",,,,,,,,,,/3153,Kwalugedlane 1341,
Western Cape,,Periodical Court,Touws River,,No,,No,,,023 342 2325 023 347 5024,"Private Bag X3045, 15 Douglas Str, Touwsrivier",E 20.03149; S ‐33.33903
"",,,,,,,,,,,Worcester 6849,
Free State,,Magistrate Court,Trompsburg,,Yes,,Yes,,,051 713 0003 051 713 0269,"Private Bag X05  21 Kerk Street, Trompsburg",E 25.78108; S ‐30.03393
"",,,,,,,,,,,Trompsburg 9913 9913,
Gauteng,Ekurhuleni South East [Tsakane],Detached Court,Tsakane,,No,,Yes,,,011 739 1600 ‐,"Private Bag X8, Brakpan 32019 Modjadji Street,",‐26.3462; 28.3764
"",,,,,,,,,,,1540 Tsakane 1550,
Free State,,Detached Court,Tseki,,No,,Yes,,,058 713 1524 / 058 713 2266,Private Bag X869 Tseki Shopping Complex,E 28.77217; S ‐28.58721
"",,,,,,,,,,1525,"Witsieshoek 9870 Poelong Village, next to Police",
"",,,,,,,,,,,"Station, Witsieshoek  9870",
Limpopo,Thulamela [Thohoyandou],Periodical Court,Tshaulu,,No,,No,,,015 962 5550 015 962 5566,"Private Bag X5005, SAPS  Tshaulu, Tshaulu",‐22.80376; 30.74825
"",,,,,,,,,,,"Thohoyandou 0950 Tshilaphala, Tshaulu Village",
Free State,,Detached Court,Tsheseng,,Modudumela No,,Yes,,,058 721 0160 058 721 0153,"Private Bag X155 16 Mota Street, Tsheseng",E 28.87027; S ‐28.63458
"",,,,,,,,,,,"Mokodumela  9868 Village, Witsieshoek 9868",
North West,Mafikeng [Mmabatho],Periodical Court,Tshidilamolomo,,No,,No,,,018 387 8000 018 384 3594,"Private Bag X2045, Tshidilamolomo Police Station, ‐25.82623; 24.67332",
"",,,,,,,,,,,Mmabatho 2735 Tshidilamolomo,
Limpopo,Thulamela [Thohoyandou],Periodical Court,Tshikombani,,No,,No,,,015  962 5556 015 962 5566,"Private Bag X5005, Tshikombani Tribal Council",‐22.91142; 30.21735
"",,,,,,,,,,,Thohoyandou 0950,
Limpopo,Makhado [Tshilwavhusiku],Magistrate Court,Tshilwavhusiku,,Yes,,Yes,,,015 571 5277/ 015 571 5490,"Private Bag X701, Next to Police Station,",‐23.09656; 29.74109
"",,,,,,,,,,5049/ 505 0563,Tshilwavhusiku 0938 Tshilwavhusiku 0938,
Limpopo,Makhado [Tshitale],Magistrate Court,Tshitale,,Yes,,Yes,,,015 975 1715/17 015 975 1716,"Private Bag X3012, Mulima Mulima Sekgosese Road,",‐23.35858; 29.98854
"",,,,,,,,,,,0817 Mulima 0817,
Northern Cape,John Taolo Gaetsewe [Kuruman],Periodical Court,Tsineng,,No,,No,,,"053 773 1868/ 053 773 1502/1156 Private Bag X102,",Tsineng,
"",,,,,,,,,,1869/ 1307/,Mothibistad 8474,‐27.08491; 23.07599
"",,,,,,,,,,1550,,
Eastern Cape,,Magistrate Court,Tsolo,,Yes,,Yes Yes,,,047 542 0002 047 542 0067,"Private Bag x 1003, Tsolo Main Street , Tsolo 5170",E 28.75651; S ‐31.31137
"",,,,,,,,,,,5170,
Eastern Cape,,Magistrate Court,Tsomo,,Yes,,Yes,,,047 488 0003 047 488 0016,"Private Bag x 201, Tsomo Main Street , Tsomo 5400",E 27.82072; S ‐32.03808
"",,,,,,,,,,,5400,
Limpopo,Modimolle [Modimolle],Periodical Court,Tuinplaas,,No,,No,,,014 717 5316 014 717 5369,"Private Bag X1011, Near SAPS Tuinplaas",‐24.90221; 28.73624
"",,,,,,,,,,,Modimolle 0510,
Western Cape,,Magistrate Court,Tulbagh,,Yes,,Yes,,,023 230 0006 023 230 0099,"Private Bag X1, Tulbagh c/o Piet Retief & Waterkant",E 19.14045; S ‐33.28856
"",,,,,,,,,,,"6820 Street, Tulbagh 6820",
KwaZulu‐Natal,,Branch Court,Turton,,Emzumbe No,,Yes (Sessions Only),,,039 972 1720 039 972 1736,"Private Bag X13, Emzumbe Location,",
"",,,,,,,,,,,Hibberdene 4220 Hibberdene 4220,
Free State,,Periodical Court,Tweeling,,No,,No,,,058 813 1000 058 813 1638,"Private Bag X1, Frankfort 5th Agtste Street",E 28.51574; S ‐27.55465
"",,,,,,,,,,,9830,
Free State,,Periodical Court,Tweespruit,,No,,No,,,051 973 0017 051 973 0518,"Private Bag X1, Excelsior 12 Eaton Road",E 27.02474; S ‐29.18637
"",,,,,,,,,,,9760,
Limpopo,Tzaneen [Tzaneen],Magistrate Court,Tzaneen,,Yes,,Yes,,Yes,015 307 3770 / 015 307 4163,"Private Bag X4010, Tzaneen 18 Morgan Street, Tzaneen",‐23.82821; 30.16075
"",,,,,,,,,,307 7061,0850 0850,
KwaZulu‐Natal,,Magistrate Court,Ubombo,,Yes,,Yes,,,035 595 1002 035 595 1165,"Private Bag X612, Ubombo Lot 15 Main Road, Ubombo",E 32.08435; S ‐27.56635
"",,,,,,,,,,,3970 3970,
Eastern Cape,,Periodical Court,Ugie,,No,,No,,,See Maclear or n/a,n/a c/o Umnga Street & 2 van,E 28.23507; S ‐31.1995
"",,,,,,,,,,045 933 1357,Riebeeck Street,
Eastern Cape,,Magistrate Court,Uitenhage,,Yes,,Yes,,,041 992 5393 041 992 2907,"Private Bag x 3, Uitenhage 6 Durban Street , Uitenhage",E 25.40009; S ‐33.77139
"",,,,,,,,,,,6230 6230,
Region MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel,Fax,Postal Physical,GPS [S;E]
KwaZulu‐Natal,Magistrate Court,Umbumbulu,,,Yes,Yes Yes,,,031 915,031 915 0106,"Private Bag X1013, Main Road, Umbumbulu 4105",E 30.70279; S ‐29.98549
"",,,,,,,,,0100/01/02/03,,Umbumbulu 4105,
KwaZulu‐Natal,Periodical Court,Umhlali,,,No,No,,,032 551 1201,032 552 1656,"Private Bag X602, Main Road, Umhlali",E 31.21958; S ‐29.46886
"",,,,,,,,,,,KwaDukuza 4450,
KwaZulu‐Natal,Magistrate Court,Umzimkulu,,,Yes,Yes,,,039 259 0841,039 259 0184,"Private Bag x 507, Hospital Street, Umzimkulu",E 29.94012; S ‐30.25849
"",,,,,,,,,,,Umzimkulu 3297 3297,
KwaZulu‐Natal,Periodical Court,Umzinto,,,No,Yes (Sessions Only),,,039 978 9400,039 978 3258,"Private Bag X5510, 102 Court Road, Umzinto",E 30.67261; S ‐30.30875
"",,,,,,,,,,,Scottburgh 4180,
Western Cape,Magistrate Court,Uniondale,,,Yes,Yes,,,044 752 1002,044 752 1237,"Private Bag X230, Uniondale 51 Voortrekker Street,",E 23.1258; S ‐33.65713
6460Northern Cape ZF Mgcawu [Upington],Magistrate Court,Upington,,,Yes,Yes Yes,,,054 337 5300,054 332 1495,"6460 Private Bag X5983, U i 1 Weideman Street, Upington, ‐28.46085; 21.23732d l",
"",,,,,,,,,,,"Upington, 8800 8800",
KwaZulu‐Natal,Magistrate Court,Utrecht,,,Yes,Yes,,,034 331 3184,034 331 3184,"Private Bag X1003, Utrecht 51 Voor Street, Utrecht 2980",E 30.31998; S ‐27.65597
"",,,,,,,,,,Tel/Fax,2980,
Mpumalanga Dr JS Moroka [Mbibana],Magistrate Court,Vaalbank (eLibangeni),Mbibana,Mbabane,Yes,Yes,,,013 976 7409/10 013 976 7435,,"Private Bag X3003, Farm 01, Vaalbank 0449",‐25.15999; 28.85028
"",,,,,,,,,,,Mbibana 0449,
Limpopo Modimolle [Modimolle],Periodical Court,Vaalwater,,,No,No,,,014 717 5316,014 717 5369,"Private Bag X1011, Near SAPS Vaalwater",‐24.29323; 28.11393
"",,,,,,,,,,,Modimolle 0510,
Mpumalanga Lekwa [Standerton],Periodical Court,Val,,,,,,,017 712 2043,017 712 3253,"Private Bag X 2004 06 Smith Street, SAPS building ‐26.79825; 28.94027",
Northern Cape Pixley Ka Seme [Carnavon],Periodical Court,Van Wyksvlei,,,No,No,,,053 382 3001,053 382 3725,"Private Bag X201, Hoof Street, Vanwyksvlei",‐26.8798; 22.052
"",,,,,,,,,,,"Carnarvon, 8925",
Northern Cape John Taolo Gaetsewe [Kudumane],Periodical Court,Van Zylsrus,,,No,No,,,053 712 1081,053 712 2021,"Private Bag X854, Kuruman, n/a",‐30.35073; 21.82448
"",,,,,,,,,,,8460,
Gauteng Emfuleni [Vanderbijlpark],Magistrate Court,Vanderbijlpark,,,Yes,Yes,,,016 933 4351,016 933 3377,"Private Bag X010, Cnr General Hertzog & F W",‐26.70052; 27.83388
"",,,,,,,,,,,"Vanderbijlpark 1900 Beyers Street, Vanderbijlpark",
"",,,,,,,,,,,1911,
Western Cape,Magistrate Court,Vanrhynsdorp,,,Yes,Yes,,,027 219 1002,027 219 1563,"Private Bag X2, 2 Church Street, Vanrhynsdorp E 18.73701; S ‐31.60797",
"",,,,,,,,,,,Vanrhynsdorp 8170 8170,
Free State,Magistrate Court,Ventersburg,,,Yes,Yes,,,057 651 4041,057 651 5047 /,"Private Bag X1 Ventersburg  2 Voortrekker Street,",E 27.13992; S ‐28.08725
"",,,,,,,,,,0866332308,9450 Ventersburg 9450,
North West Ventersdorp  [Ventersdorp],Magistrate Court,Ventersdorp,,,Yes,Yes,,,018 264 2036/7,018 264 2404,"Private Bag X1004, 31 Gey Street, Ventersdorp",‐26.31698; 26.82196
"",,,,,,,,,,,Ventersdorp 2710 2710,
Eastern Cape,Magistrate Court,Venterstad,,,Yes,Yes,,,051 654 0007,051 654 0147,"Private Bag x 01, Venterstad Tennant Street , Venterstad",E 25.79877; S ‐30.77674
"",,,,,,,,,,,9798 9798,
Gauteng Emfuleni [Vereeniging],Detached Court,Vereeniging,,,Yes,Yes,,Yes,016 422 0071‐4,016 422 0604,"Private Bag X06, Cnr Leslie & Beaconsfield Ave, ‐26.67625; 27.92759",
"",,,,,,,,,,,Vereeniging 1930 Vereeniging 1939,
Mpumalanga Thembisile Hani [Kwaggafontein],Periodical Court,Verena,,,No,No,,,013 986 0131/2,013 986 0598,"Private Bag X4033, Stand Number 847, Verena A",‐25.48404; 29.025
"",,,,,,,,,,,Empumalanga 0458,
Free State,Periodical Court,Verkeerdevlei,,,No,No,,,051 821 2211,051 821 1602,"Private Bag X10, Brandfort 1 Handel Street",E 26.77873; S ‐28.8321
"",,,,,,,,,,,9400,
KwaZulu‐Natal,Magistrate Court,Verulam,,,Yes,Yes,,,032 439 1711,032 533 9946,"Private Bag X07, Verulam 52 Moss Street, Verulam 4340 E 31.0489; S ‐29.64211",
"",,,,,,,,,,,4340,
Northern Cape Pixley Ka Seme [Victoria West],Magistrate Court,Victoria West,,,Yes,Yes,,,053 621 0007,053 621 0866,"Private Bag X316, Victoria 1 Victoria Street, Victoria West, ‐31.40419; 23.11092",
"",,,,,,,,,,,"West, 7070 7070",
Free State,Periodical Court,Vierfontein,,,No,No,,,056 343 2113,056 343 1392,"Private Bag X3, Vierfontien SAPS",E 26.75157; S ‐27.08029
"",,,,,,,,,,,Viljoenskroon 9520,
Free State,Magistrate Court,Viljoenskroon,,,Yes,Yes,,,056 343 2113,056 343 1392,"Private Bag X3, 21 Engelbrecht Street,",E 26.94482; S ‐27.20885
"",,,,,,,,,,,Viljoenskroon 9520 Viljoenskroon 9520,
Limpopo Lephalale [Phalala],Periodical Court,Villa Nora,,,No,No,,,014 769 0063/,014 769 0165,"Private Bag X220, Lephalale R518, Villa Nora",‐23.52816; 28.1257
Region,MagDistrict CourtType,,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,Postal,Physical,GPS [S;E]
Western Cape,Magistrate Court,,Vredenburg,,,Yes,Yes,,,022 713 5274 022 713 1520,"Private Bag X5, Vredenburg 17 Piet Retief Street ,",,E 17.9872; S ‐32.90525
"",,,,,,,,,,,7380,Vredenburg 7380,
Western Cape,Magistrate Court,,Vredendal,,,Yes,Yes,,,027 213 2010 027 213 4823,"Private Bag X3, Vredendal","24 Voortrekker Street,",E 18.50698; S ‐31.66455
"",,,,,,,,,,,8160,Vredendal 8160,
North West,Naledi  [Vryburg] Magistrate Court,,Vryburg,,,Yes,Yes,,Yes,053 928 4209 053 927 2309,"Private Bag X06, Vryburg",69 Market Street (c/o Market,‐26.95846; 24.72687
"",,,,,,,,,,,8600,"& De Kock), Vryburg 8601",
KwaZulu‐Natal,Magistrate Court,,Vryheid,,,Yes,Yes,,,034 981 034 980 9203,"Private Bag X9368, Vryheid 212 Church Street, Vryheid",,E 30.79539; S ‐27.76772
"",,,,,,,,,,4911/4912/9809,3100,3100,
Limpopo,Malamulele [Vuwani] Magistrate Court,,Vuwani,,Schuinshoogte,Yes,Yes,,,015 961 5402 015 961 5389,"Private Bag X1204, Vuwani",Next to Vuwani Police Station,‐23.13014; 30.41998
"",,,,,,,,,,,0952,,
Mpumalanga,Dr Pixley Ka Isaka Seme [WakkerstrooMagistrate Court,,Wakkerstroom,,,Yes,Yes,,,017 730 0156 017 730 0147,"Private Bag X1010,","Engelbrecht Street,",‐27.35426; 30.1444
"",,,,,,,,,,,Wakkerstroom 2480,Wakkerstroom 2480,
Free State,Periodical Court,,Warden,,,No,Yes,,,058 643 0014 058 643 0860 /,"Private Bag X1, Warden","27B School Street, Warden",E 28.96369; S ‐27.85779
"",,,,,,,,,,0027,9890,9890,
Northern Cape,Frances Baard [Warrenton] Magistrate Court,,Warrenton,,,Yes,Yes,,,053 497 9200 053 497 5200,"Private Bag X307,","9 Struwig Street, Warrenton,",‐28.11497; 24.84852
"",,,,,,,,,,,"Warrenton, 8530",8530,
KwaZulu‐Natal,Periodical Court,,Wasbank,,,No,No,,,034 393 034 393 2147,"Private Bag X06, Glencoe","Rademeyer Road, Wasbank",E 30.09996; S ‐28.3135
"",,,,,,,,,,1164/1190,2930,,
Limpopo,Makhado [Louis Trichardt] Periodical Court,,Waterpoort,,,No,No,,,015 516 015 516 0044,"Private Bag X2403, Louis","R523, SAPS Waterpoort",‐22.90068; 29.62667
"",,,,,,,,,,0181/2/3,Trichardt 0920,,
Gauteng,Merafong [Fochville] Periodical Court,,Wedela,,,,,,,See Fochville,,,‐26.456441; 27.38304
KwaZulu‐Natal,Magistrate Court,,Weenen,,,Yes,Yes,,,036 354 1621 036 354 1090,"Private Bag X1, Weenen","Retief Street, Weenen 3325",E 30.08513; S ‐28.85384
"",,,,,,,,,,,3325,,
Gauteng,Tshwane East [Bronkhorstspruit] Periodical Court,,Welbekend,,,No,No,,,013 932 2901‐3 013 932 2880,"Private Bag X563,","R25 Plaas Onbekend,",‐25.9647; 28.46958
"",,,,,,,,,,,Bronkhorstspruit 1020,Bapsfontein,
Free State,Magistrate Court,,Welkom,,,Yes,Yes Yes,,,057 916 2500 / 057 916 2600,"Private Bag X5, Welkom","Cnr Heeren & Buiten Street,",E 26.73774; S ‐27.97683
"",,,,,,,,,,2515,9460,Welkom 9460,
Western Cape,Magistrate Court,,Wellington,,,Yes,Yes,,,021 873 1145/ 021 864 2730,"Private Bag X01, Wellington 30 Jan van Riebeeck Street,",,E 19.00543; S ‐33.6403
"",,,,,,,,,,8811/ 6648/,7654,Wellington 7655,
"",,,,,,,,,,8768,,,
